id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
703395754090693752,Adorable Lodge 1 AT Blickinstal Retreat,439331891,Hao,,Bethany,-34.55359,138.97797,Entire home/apt,155,1,26,2025-08-22,0.72,10,163,8,
703872734491160951,Adorable Lodge 2  Blickinstal Retreat,439331891,Hao,,Bethany,-34.55279,138.97718,Entire home/apt,155,1,87,2025-09-06,2.49,10,116,30,
703873092978064872,Comfy Studio 4 @ Blickinstal Barossa Valley,439331891,Hao,,Bethany,-34.55455,138.97926,Entire home/apt,129,1,18,2023-10-23,0.49,10,119,0,
703873217398549559,Comfy Studio 5 @ Blickinstal Barossa Valley,439331891,Hao,,Bethany,-34.5528,138.97784,Entire home/apt,129,1,14,2025-01-03,0.39,10,121,2,
703873326508107679,Comfy Studio 6 @ Blickinstal Barossa Valley,439331891,Hao,,Bethany,-34.55494,138.97807,Entire home/apt,129,1,33,2025-07-24,0.89,10,7,9,
706793228615597287,The Winemaker's Haus,175722042,Alex,,Tanunda,-34.5354566,138.95152,Entire home/apt,246,2,150,2025-09-14,4.25,1,228,48,
714091918722300599,Tanunda House - Luxury 5 BR in Barossa Wine Region,479155405,Sally And Cathie,,Tanunda,-34.52294851715476,138.95535176322934,Entire home/apt,2819,2,14,2025-04-16,0.44,1,288,5,
715671869674731648,Rural garden studio with BBQ patio and dog park,93219392,Evelyn,,Eden Valley,-34.68654,139.09146,Entire home/apt,160,1,79,2025-09-21,2.42,2,250,42,
718469772693217183,"Rockridge, apartment pet friendly rural setting",184466221,Susan,,Mount Pleasant,-34.7791637642793,139.04115591198206,Entire home/apt,180,1,24,2025-05-18,0.67,1,342,5,
721093381238847388,Kate’s Cottage in Marananga,275161574,Wendy,,Marananga,-34.48506,138.93849,Entire home/apt,310,1,14,2025-09-07,0.46,2,296,12,
730052627340589289,65 on North,384908171,Josh And Jen,,Moculta,-34.50764,139.05808,Private room,171,2,62,2025-08-31,2.06,1,316,19,
741764023269405028,The Reserve Barossa,82430837,Shane,,Nuriootpa,-34.4915714,138.9647129,Entire home/apt,1488,3,12,2025-08-25,0.35,1,274,4,
752288334648314435,Pet friendly Classic Stone  Cottage in Tanunda,486246058,Carolyn,,Tanunda,-34.53263,138.95184,Entire home/apt,,3,34,2025-04-22,1.02,1,1,1,
759155804904701797,Grenache Apartment - Angaston Mews,487505306,Anne-Marie,,Angaston,-34.49997247080307,139.05090309259035,Entire home/apt,303,2,0,,,4,313,0,
759182781379305366,Chardonnay Apartment - Angaston Mews,487505306,Anne-Marie,,Angaston,-34.500007838466324,139.05094600793458,Entire home/apt,320,2,3,2025-07-13,0.12,4,320,1,
763963393371961799,Para River Cottage,49528952,Rainer,,Tanunda,-34.521603,138.9535283,Entire home/apt,352,2,140,2025-09-09,4.08,1,149,44,
764806740959532527,Kesehills Wines Shared Villa B Rm#5,488554818,Nick,,Mount Pleasant,-34.7432,139.11408,Entire home/apt,189,2,2,2022-12-28,0.06,10,176,0,
765505805955518946,Kesehills Wines Shared Villa B Rm#6,488554818,Nick,,Mount Pleasant,-34.74366,139.11443,Entire home/apt,211,2,0,,,10,358,0,
765511427520869839,Kesehills Wines Shared Villa B Rm#7,488554818,Nick,,Mount Pleasant,-34.74169,139.11273,Entire home/apt,236,2,0,,,10,361,0,
765553036302923066,Kesehills Wines Shared Villa B Rm#8,488554818,Nick,,Mount Pleasant,-34.74193,139.11399,Entire home/apt,252,2,1,2023-04-16,0.03,10,360,0,
765612429537610683,Kesehills Wines Shared Villa B Rm#9,488554818,Nick,,Mount Pleasant,-34.74348,139.11438,Entire home/apt,252,2,0,,,10,361,0,
765619654140788793,Kesehills Wines Shared Villa B Rm#10,488554818,Nick,,Mount Pleasant,-34.74155,139.1129,Entire home/apt,282,2,1,2023-04-23,0.03,10,361,0,
765624869411604383,Kesehills Wines Shared Villa B Rm#3-4,488554818,Nick,,Mount Pleasant,-34.74222,139.11484,Entire home/apt,375,1,1,2023-04-23,0.03,10,360,0,
767826475011551659,Barossa Isadore House -Vintage Charm & Modern Luxe,489054699,Anna-Maria,,Angaston,-34.5063268,139.0474572,Entire home/apt,362,2,21,2025-09-07,1.16,1,145,17,
773319715411149829,Spacious Queen Bedroom,490005598,Marlina,,Kapunda,-34.34015,138.91199,Private room,69,2,5,2023-12-24,0.15,2,103,0,
